YEAR,MONTH,DAY,EVENT GROUP,EVENT SUBGROUP,EVENT TYPE,FATALITIES,INJURED / INFECTED,ESTIMATED TOTAL COST,NORMALIZED TOTAL COST,MAGNITUDE,PLACE
1999,Jun,12,natural,meteorological - hydrological,fire,0,0.0,9223230000,595688,0.0,burwash landing yt
1995,Jul,17,natural,meteorological - hydrological,storm,0,0.0,745596120000,51068227,0.0,calgary ab
1988,Aug,16,natural,meteorological - hydrological,storm,0,0.0,398278720000,33562813,0.0,calgary ab
1990,Jul,9,natural,meteorological - hydrological,storm,0,0.0,192954040000,14766891,0.0,calgary ab
1991,Sep,7,natural,meteorological - hydrological,storm,0,0.0,8845953720000,641011139,0.0,calgary ab
1992,Jul,31,natural,meteorological - hydrological,storm,0,0.0,384954970000,27496784,0.0,calgary ab
1996,Jul,16,natural,meteorological - hydrological,storm,0,0.0,1030000000000,69516310,0.0,calgary ab
1996,Jul,24,natural,meteorological - hydrological,storm,0,0.0,878776430000,59309995,0.0,calgary ab
1998,Jul,4,natural,meteorological - hydrological,storm,0,0.0,652580000000,42885871,0.0,calgary ab
1999,Aug,9,technology,explosion,non-residential,2,5.0,,nan,0.0,calgary ab
2002,May,30,technology,fire,residential,0,0.0,00000,00,0.0,calgary ab
1979,Jan,1,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,calgary ab
1981,Jul,28,natural,meteorological - hydrological,storm,2,0.0,,nan,0.0,calgary ab
2011,May,29,natural,meteorological - hydrological,flood,0,0.0,00000,00,SIN,calgary ab
2007,Jun,5,natural,meteorological - hydrological,storm,0,0.0,163962130000,8823074,0.0,"calgary, edmonton, st. albert, the town of stony plain, parkland county, two hills county, kneehill county, camrose, and the municipal districts of rocky view and bighorn ab"
1974,May,17,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,cambridge/waterloo region on
1968,Jun,5,natural,geological,landslide,4,0.0,,nan,0.0,camp creek bc
1953,Apr,18,natural,biological,infestation/epidemic/pandemic,506,9037.0,,nan,SIN,canada
1986,May,30,technology,hazardous chemicals,fire,0,0.0,,nan,0.0,canning ns
1950,Nov,21,technology,transportation accident,rail,21,53.0,,nan,0.0,canoe river bc
1991,Oct,8,technology,hazardous chemicals,leak / spill release,0,0.0,,nan,0.0,canso ns
1983,Oct,25,natural,meteorological - hydrological,storm surge,0,0.0,,nan,0.0,cape breton island ns
1930,Jun,26,natural,geological,landslide,4,0.0,,nan,0.0,capreol on
1904,Jan,1,technology,explosion,non-residential,14,0.0,,nan,0.0,carbonado bc
2006,Jul,6,natural,meteorological - hydrological,fire,0,0.0,00000,00,0.0,cariboo-chilcotin bc
1973,Aug,27,natural,meteorological - hydrological,storm,0,0.0,,nan,0.0,cedoux sk
1953,Jul,14,natural,meteorological - hydrological,storm,0,0.0,,nan,0.0,central alberta
1983,Jan,1,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,central alberta
1974,Mar,1,natural,meteorological - hydrological,flood,0,0.0,85320000000,19538931,0.0,central and northern alberta
1988,Jun,28,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,central and southern alberta
1974,Apr,1,natural,meteorological - hydrological,flood,0,0.0,145230610000,33258918,0.0,central and southern manitoba
1991,Nov,30,natural,meteorological - hydrological,storm,0,0.0,59823090000,4335007,0.0,central ontario
1970,Jun,27,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,central ontario
1978,Jan,1,natural,meteorological - hydrological,head event/drought,0,0.0,,nan,0.0,central ontario
1979,Apr,24,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,central ontario
1979,May,12,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,central ontario
1983,Jan,11,natural,meteorological - hydrological,flood,0,0.0,63678410000,6576084,0.0,"central, southern, and western newfoundland"
1980,Jan,1,conflict,fire,residential,45,55.0,,nan,0.0,chapais region of chibougamau qc
2010,May,27,natural,meteorological - hydrological,fire,0,0.0,00000,00,0.0,chapleau on
1942,Sep,22,natural,meteorological - hydrological,storm,0,0.0,,nan,0.0,charlottetown pe
1974,Jul,3,natural,meteorological - hydrological,storm,0,0.0,1430000000,327481,0.0,charlottetown pe
1985,Feb,23,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,chatham on
1991,Apr,7,natural,meteorological - hydrological,flood,0,0.0,36820040000,2668119,0.0,chaudière river qc
1970,Apr,22,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,chaudière river qc
1970,Feb,4,technology,hazardous chemicals,marine release,0,0.0,,nan,SIN,"chedabucto bay, nova scotia"
1984,Apr,30,natural,meteorological - hydrological,storm,0,0.0,390660000000,38679208,0.0,chesley on
1909,Jan,4,natural,meteorological - hydrological,flood,1,0.0,,nan,0.0,chester nb
2000,Aug,1,technology,hazardous chemicals,leak / spill release,0,0.0,00000,00,0.0,chetwynd bc
2005,Jun,6,natural,meteorological - hydrological,fire,0,SIN,00000,00,0.0,chibougamau and james bay qc
2005,May,29,natural,meteorological - hydrological,fire,0,0.0,00000,00,0.0,chisasibi qc
1983,Jun,2,technology,transportation accident,air,23,18.0,,nan,0.0,"cincinnati. ohio, usa"
1999,Jul,4,natural,meteorological - hydrological,flood,0,0.0,87514520000,5652176,0.0,clearwater ab
1930,Jan,1,technology,explosion,non-residential,45,0.0,,nan,0.0,coalmont bc
1916,Jul,29,natural,meteorological - hydrological,fire,233,0.0,,nan,0.0,cochrane and matheson on
1911,Jul,11,natural,meteorological - hydrological,fire,73,0.0,,nan,0.0,cochrane on
1991,Jan,11,technology,hazardous chemicals,leak / spill release,0,0.0,,nan,0.0,cochrane on
2008,Aug,29,natural,meteorological - hydrological,storm,0,0.0,8513260000,447674,0.0,"colchester, pictou, antigonish, inverness, victoria, cumberland and halifax ns"
1988,Mar,7,technology,hazardous chemicals,marine release,0,0.0,,nan,0.0,come by chance nl
1922,Jan,1,technology,explosion,non-residential,18,0.0,,nan,0.0,comox bc
1923,Jan,1,technology,explosion,non-residential,33,0.0,,nan,0.0,comox bc
1951,Feb,9,technology,transportation accident,rail,9,31.0,,nan,0.0,coniston on
1915,Mar,22,natural,geological,landslide,56,22.0,,nan,0.0,"cooper mine, jane camp bc"
1972,May,15,natural,meteorological - hydrological,flood,1,0.0,,nan,0.0,corner brook nl
1977,Dec,27,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,corner brook nl
1992,Jan,21,technology,hazardous chemicals,leak / spill release,0,0.0,,nan,0.0,corunna on
1910,Apr,18,natural,geological,landslide,6,0.0,,nan,0.0,coucoucache qc
2010,May,12,natural,meteorological - hydrological,fire,0,0.0,100000000000,5150215,0.0,county of thorhild ab
1988,Dec,17,technology,hazardous chemicals,fire,0,0.0,,nan,0.0,courtland on
1902,Jan,1,technology,explosion,non-residential,32,0.0,,nan,0.0,cranberry bc
2010,Jun,23,natural,meteorological - hydrological,fire,0,0.0,95721040000,4929839,0.0,cranberry portage mb
1978,Feb,11,technology,transportation accident,air,43,4.0,,nan,0.0,cranbrook bc
1930,Jun,27,natural,geological,landslide,8,0.0,,nan,0.0,crerar on
1999,Apr,29,natural,meteorological - hydrological,fire,0,0.0,,nan,0.0,"cross lake, seymourville mb"
1967,Jan,1,technology,explosion,non-residential,15,0.0,,nan,0.0,crowsnest pass bc
2002,Jun,28,natural,meteorological - hydrological,fire,0,0.0,00000,00,0.0,"crutwell, dillon, hatchett lake, pelican narrows, deschambeault, wahpeton first nation, nordell, peter pond sk"
2005,Jun,23,natural,meteorological - hydrological,flood,0,SIN,34552080000,1937500,0.0,cumberland house cree first nation sk
1983,Jan,10,technology,hazardous chemicals,vehicle,0,1.0,,nan,0.0,curling nl
2007,Apr,15,natural,geological,landslide,0,0.0,2239900000,120533,0.0,daniels harbour nl
2007,Jul,5,technology,hazardous chemicals,leak / spill release,0,0.0,00000,00,0.0,dartmouth ns
1945,Jul,18,technology,fire,non-residential,0,0.0,,nan,0.0,dartmouth ns
1971,Aug,15,natural,meteorological - hydrological,storm,0,0.0,24260000000,6964593,0.0,dartmouth ns
1925,May,7,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,dawson yt
1979,May,3,natural,meteorological - hydrological,flood,0,0.0,18540000000,2781000,0.0,dawson yt
2009,Aug,4,natural,meteorological - hydrological,air,0,0.0,60000000000,3146853,0.0,déléage and mont-laurier qc
2006,Feb,4,natural,meteorological - hydrological,storm surge,0,0.0,64060000000,3523006,0.0,delta bc
2008,Jul,1,natural,meteorological - hydrological,fire,0,0.0,00000,00,0.0,deschambault lake sk
1975,Jul,22,natural,geological,landslide,4,0.0,,nan,0.0,devastation glacier bc
1980,Jan,1,natural,meteorological - hydrological,storm,0,0.0,,nan,0.0,drumheller ab
1999,Jul,6,natural,meteorological - hydrological,air,1,4.0,435950000000,28156082,0.0,drummondville qc
1989,Mar,10,technology,transportation accident,air,24,45.0,,nan,0.0,dryden on
2002,Jul,30,technology,hazardous chemicals,leak / spill release,0,0.0,00000,00,0.0,dryden on
1988,Apr,1,natural,meteorological - hydrological,flood,0,0.0,23231370000,1957700,0.0,duck mountain and swan river mb
1947,Sep,1,technology,transportation accident,rail,31,0.0,,nan,0.0,dugald mb
2009,Nov,20,natural,meteorological - hydrological,flood,SIN,SIN,00000,00,SIN,duncan and north cowichan (vancouver island) bc
1989,Jan,1,technology,hazardous chemicals,fire,0,0.0,,nan,0.0,dundas on
1969,Jan,1,technology,fire,residential,13,0.0,,nan,0.0,dunnville on
1982,May,31,conflict,terrorist,bomb attacks,0,0.0,,nan,0.0,"dunsmuir, vancouver island bc"
1997,Jan,9,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,durham on
1986,Aug,1,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,east central british columbia
2004,Dec,26,natural,geological,tsunami,20,SIN,00000,00,0.0,east indian ocean
1995,Jun,1,natural,meteorological - hydrological,flood,0,0.0,71557070000,4901169,0.0,"east kooteney (elk river-watershed) region and the municipalities of sparwood, fernie and surrounding areas bc"
1999,Mar,5,natural,meteorological - hydrological,fire,SIN,SIN,,nan,0.0,east of lake winnipeg mb
1952,Apr,1,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,eastend sk
2000,Oct,29,natural,meteorological - hydrological,storm surge,0,0.0,54810000000,3447170,0.0,eastern and northern coastline of new brunswick
1912,Jul,8,natural,meteorological - hydrological,head event/drought,3,0.0,,nan,0.0,eastern canada
1993,Mar,15,natural,meteorological - hydrological,storm,33,0.0,198660000000,13924766,0.0,eastern canada
1983,Jan,1,natural,meteorological - hydrological,cold event,0,0.0,,nan,0.0,eastern canada
1998,Mar,28,natural,meteorological - hydrological,flood,0,0.0,277416850000,18231118,0.0,eastern ontario and quebec
1986,Dec,24,natural,meteorological - hydrological,storm,0,0.0,,nan,0.0,eastern ontario and southwestern quebec
1984,Jul,15,natural,meteorological - hydrological,air,1,43.0,,nan,0.0,eastern ontario and western quebec
2003,May,19,natural,meteorological - hydrological,fire,SIN,SIN,,nan,0.0,"eastern passage, cole harbour ns"
1978,Aug,4,technology,transportation accident,vehicle,41,0.0,,nan,0.0,eastman qc
1922,Sep,30,natural,geological,landslide,5,0.0,,nan,0.0,echo harbour bc
2011,Jul,12,natural,meteorological - hydrological,flood,0,0.0,00000,00,0.0,"eckville, lacombe, paddle river, fort vermilion, and peace river ab"
1992,Sep,1,natural,meteorological - hydrological,storm,0,0.0,225220000000,16087143,0.0,edmonton ab
1987,Jul,31,natural,meteorological - hydrological,air,27,600.0,1811259590000,158650475,0.0,edmonton ab
1992,Aug,28,natural,meteorological - hydrological,storm,0,0.0,201701680000,14407263,0.0,edmonton ab
1993,Jul,29,natural,meteorological - hydrological,storm,0,0.0,210958280000,14786795,0.0,edmonton ab
1995,Jul,4,natural,meteorological - hydrological,storm,0,0.0,345116120000,23638090,0.0,edmonton ab
2004,Jul,2,natural,meteorological - hydrological,storm,0,0.0,126788240000,7265802,0.0,edmonton ab
2007,Jul,21,technology,fire,residential,0,0.0,00000,00,0.0,edmonton ab
2009,Jul,18,natural,meteorological - hydrological,storm,0,0.0,45000000000,2360140,0.0,edmonton ab
1965,Jan,2,conflict,terrorist,bomb attacks,1,0.0,,nan,0.0,edmonton ab
1969,Aug,4,natural,meteorological - hydrological,storm,0,0.0,,nan,0.0,edmonton ab
1978,Jul,10,natural,meteorological - hydrological,flood,0,0.0,15976000000,2619016,0.0,edmonton ab
1981,Jan,1,natural,meteorological - hydrological,flood,4,0.0,,nan,0.0,edmonton ab
1983,Aug,3,natural,meteorological - hydrological,storm,0,0.0,220600000000,22781411,0.0,edmonton ab
2004,Aug,13,natural,meteorological - hydrological,storm,1,SIN,00000,00,0.0,edmundston nb
1947,Feb,5,natural,meteorological - hydrological,flood,2,0.0,,nan,0.0,elgin nb
2007,Jun,22,natural,meteorological - hydrological,air,0,0.0,176070000000,9474619,0.0,elie mb
1992,Aug,28,natural,meteorological - hydrological,flood,0,0.0,47385390000,3384671,0.0,elmira on
1987,Oct,1,technology,hazardous chemicals,derailment release,0,0.0,,nan,0.0,emerson mb
2004,Aug,10,technology,hazardous chemicals,derailment release,SIN,SIN,00000,00,0.0,estevan sk
1931,Sep,8,conflict,civil incident,disturbance / demonstrations,3,23.0,,nan,0.0,estevan sk
1946,Sep,15,technology,transportation accident,air,20,0.0,,nan,0.0,estevan sk
2010,Apr,14,natural,geological,volcano,0,0.0,00000,00,0.0,"eyjafjallajökull glacier, iceland"
1902,May,22,technology,explosion,non-residential,125,0.0,,nan,0.0,fernie bc
1908,Aug,1,technology,fire,residential,100,0.0,,nan,0.0,fernie bc
1917,Jan,1,technology,explosion,non-residential,34,0.0,,nan,0.0,fernie bc
2007,Apr,28,natural,meteorological - hydrological,storm,0,0.0,,nan,0.0,fishing lake sk
2007,May,25,natural,meteorological - hydrological,storm,0,0.0,00000,00,0.0,fishing lake sk
1996,Feb,17,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,flat bay nl
2012,Mar,24,natural,meteorological - hydrological,flood,SIN,SIN,00000,00,SIN,fort albany and kashechewan first nations on
1984,Jan,1,technology,hazardous chemicals,fire,0,0.0,,nan,0.0,fort frances on
2005,May,11,natural,meteorological - hydrological,flood,0,SIN,6476170000,363150,0.0,fort good hope nt
1977,Jan,1,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,"fort mcmurray, rainbow lake ab"
1903,Apr,29,natural,geological,landslide,70,23.0,,nan,0.0,frank ab
1971,May,4,natural,geological,landslide,3,0.0,,nan,0.0,fraser canyon bc
1948,May,31,natural,meteorological - hydrological,flood,10,0.0,,nan,0.0,fraser river bc
1978,Feb,1,natural,meteorological - hydrological,storm,0,0.0,,nan,0.0,fundy isles nb
2006,Jul,24,technology,fire,non-residential,0,0.0,00000,00,0.0,galiano island bc
1967,Jan,1,technology,transportation accident,air,33,0.0,,nan,0.0,gander nl
1985,Dec,12,technology,transportation accident,air,256,0.0,,nan,0.0,gander nl
2008,Jul,30,natural,meteorological - hydrological,storm,0,0.0,6449560000,339153,0.0,"gander, hare bay and swift current nl"
2010,Dec,5,natural,meteorological - hydrological,flood,0,0.0,262170000000,13502318,0.0,gaspé and bonaventure qc
2007,Aug,8,natural,meteorological - hydrological,storm,1,0.0,141497250000,7614202,0.0,gaspé and riviere-au-renard qc
1983,Dec,7,natural,meteorological - hydrological,flood,0,0.0,538313410000,55591746,0.0,gaspésie qc
1980,Jul,6,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,gaspésie region qc
2007,Apr,23,natural,meteorological - hydrological,storm,0,0.0,00000,00,0.0,gatineau qc
1979,Feb,24,technology,explosion,non-residential,12,4.0,,nan,0.0,glace bay ns
1999,Dec,7,natural,meteorological - hydrological,avalanche,1,4.0,,nan,0.0,glacier national park bc
2010,Apr,6,natural,biological,infestation/epidemic/pandemic,10,21.0,00000,00,0.0,"glengarry hospital, victoria bc"
2005,Dec,13,technology,hazardous chemicals,leak / spill release,0,SIN,00000,00,0.0,glovertown nl
2011,Aug,21,natural,meteorological - hydrological,air,1,37.0,1128590000000,56476564,SIN,goderich on
1941,May,14,natural,meteorological - hydrological,fire,0,0.0,,nan,0.0,gogama on
1979,Feb,14,natural,meteorological - hydrological,avalanche,7,0.0,,nan,0.0,golden bc
1981,Feb,23,natural,meteorological - hydrological,avalanche,3,0.0,,nan,0.0,golden bc
1988,Jan,1,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,goulais river on
1991,Nov,20,technology,hazardous chemicals,fire,0,0.0,,nan,0.0,grand coulee sk
1986,May,15,natural,meteorological - hydrological,fire,0,0.0,,nan,0.0,grand falls nl
1976,May,4,natural,meteorological - hydrological,flood,2,0.0,,nan,0.0,grand falls nl
1901,Jan,1,technology,explosion,non-residential,64,0.0,,nan,0.0,grand forks bc
1903,Jan,1,technology,explosion,non-residential,16,0.0,,nan,0.0,grand forks bc
1996,Jan,1,natural,meteorological - hydrological,head event/drought,0,0.0,576444920000,38905169,0.0,grande prairie ab
2004,Jul,8,natural,meteorological - hydrological,air,0,0.0,00000,00,0.0,grande prairie ab
1989,Aug,23,natural,meteorological - hydrological,storm,0,0.0,,nan,0.0,grande prairie ab
1982,Jul,13,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,grande prairie ab
1984,Jan,1,natural,meteorological - hydrological,air,0,0.0,,nan,0.0,grande prairie and drayton valley ab
1965,Feb,18,natural,meteorological - hydrological,avalanche,26,22.0,,nan,0.0,granduc mine bc
1940,Jan,1,natural,meteorological - hydrological,storm,69,0.0,,nan,0.0,great lakes: lake ontario
2009,Jan,6,natural,meteorological - hydrological,storm,0,0.0,35918840000,1883855,0.0,greater vancouver and fraser valley bc
1998,Dec,24,natural,meteorological - hydrological,storm,2,2.0,,nan,0.0,"greater vancouver area, southern bc"
1998,Nov,23,natural,meteorological - hydrological,storm,0,0.0,140256880000,9217320,0.0,"greater vancouver area, southern bc"
1981,Oct,30,natural,meteorological - hydrological,storm,10,0.0,31301470000,3794118,0.0,greater vancouver bc
1996,Apr,20,natural,meteorological - hydrological,air,0,9.0,94047720000,6347428,0.0,"grey county, wellington and dufferin county on"
1989,Dec,7,natural,meteorological - hydrological,storm,39,0.0,,nan,0.0,gulf of st. lawrence qc
1990,Feb,12,conflict,fire,non-residential,0,0.0,,nan,0.0,hagersville on
1922,Sep,30,natural,meteorological - hydrological,fire,43,0.0,,nan,0.0,haileybury on
1991,Dec,6,technology,hazardous chemicals,marine release,0,0.0,,nan,0.0,haines ab
1917,Dec,6,technology,transportation accident,marine,1963,9000.0,,nan,0.0,halifax and dartmouth ns
2007,Nov,3,natural,meteorological - hydrological,storm,0,0.0,28051565100,1509501,0.0,halifax and lunenburg ns
2008,Jun,13,natural,meteorological - hydrological,fire,0,0.0,00000,00,0.0,halifax ns
2009,Aug,23,natural,meteorological - hydrological,storm,0,0.0,00000,00,0.0,halifax ns
1969,Feb,2,natural,meteorological - hydrological,storm,0,0.0,,nan,0.0,halifax ns
2003,Sep,29,natural,meteorological - hydrological,storm,8,SIN,255296560000,14900577,0.0,halifax ns and charlottetown pe
2011,Jun,12,natural,meteorological - hydrological,fire,0,0.0,00000,00,SIN,hall lake sk
2009,Jul,26,natural,meteorological - hydrological,storm,0,0.0,1733120000000,90897902,0.0,hamilton and toronto on
1995,Oct,5,natural,meteorological - hydrological,storm,0,0.0,174190000000,11930822,0.0,hamilton on
1997,Jul,10,technology,hazardous chemicals,fire,0,0.0,,nan,0.0,hamilton on
2007,Jun,3,technology,fire,non-residential,0,0.0,00000,00,0.0,hamilton on
1980,Jan,1,technology,fire,residential,0,0.0,,nan,0.0,hamilton on
2007,Jun,16,natural,meteorological - hydrological,fire,0,0.0,00000,00,0.0,happy valley - goose bay nl
1973,Aug,1,natural,geological,landslide,4,0.0,,nan,0.0,harbour breton nl
1990,Jul,23,technology,hazardous chemicals,fire,0,0.0,,nan,0.0,harrow on
