YEAR,GEO,performance_of_system,Incidents&Casualties,VALUE,Status of casualty,Type of structure
2011,ontario,SIN,fire-related deaths,0.0,civilian,industrial fires
2011,ontario,SIN,fire-related deaths,0.0,civilian,assembly fires
2011,ontario,SIN,fire-related deaths,0.0,civilian,mercantile fires
2011,ontario,SIN,fire-related deaths,0.0,civilian,business use/personal service fires
2011,ontario,SIN,fire-related deaths,0.0,civilian,institutional fires
2011,ontario,SIN,fire-related deaths,0.0,civilian,storage property fires
2011,ontario,SIN,fire-related deaths,0.0,civilian,other structure type
2011,ontario,SIN,fire-related deaths,0.0,firefighter,total structural fires
2011,ontario,SIN,fire-related deaths,0.0,firefighter,residential fires
2011,ontario,SIN,fire-related deaths,0.0,firefighter,industrial fires
2011,ontario,SIN,fire-related deaths,0.0,firefighter,assembly fires
2011,ontario,SIN,fire-related deaths,0.0,firefighter,mercantile fires
2011,ontario,SIN,fire-related deaths,0.0,firefighter,business use/personal service fires
2011,ontario,SIN,fire-related deaths,0.0,firefighter,institutional fires
2011,ontario,SIN,fire-related deaths,0.0,firefighter,storage property fires
2011,ontario,SIN,fire-related deaths,0.0,firefighter,other structure type
2011,ontario,SIN,fire-related deaths,0.0,unknown status of casualty,total structural fires
2011,ontario,SIN,fire-related deaths,0.0,unknown status of casualty,residential fires
2011,ontario,SIN,fire-related deaths,0.0,unknown status of casualty,industrial fires
2011,ontario,SIN,fire-related deaths,0.0,unknown status of casualty,assembly fires
2011,ontario,SIN,fire-related deaths,0.0,unknown status of casualty,mercantile fires
2011,ontario,SIN,fire-related deaths,0.0,unknown status of casualty,business use/personal service fires
2011,ontario,SIN,fire-related deaths,0.0,unknown status of casualty,institutional fires
2011,ontario,SIN,fire-related deaths,0.0,unknown status of casualty,storage property fires
2011,ontario,SIN,fire-related deaths,0.0,unknown status of casualty,other structure type
2011,ontario,SIN,fire-related deaths,53.0,"total, status of casualty",total structural fires
2011,ontario,SIN,fire-related deaths,46.0,"total, status of casualty",residential fires
2011,ontario,SIN,fire-related deaths,0.0,"total, status of casualty",industrial fires
2011,ontario,SIN,fire-related deaths,1.0,"total, status of casualty",assembly fires
2011,ontario,SIN,fire-related deaths,2.0,"total, status of casualty",mercantile fires
2011,ontario,SIN,fire-related deaths,0.0,"total, status of casualty",business use/personal service fires
2011,ontario,SIN,fire-related deaths,0.0,"total, status of casualty",institutional fires
2011,ontario,SIN,fire-related deaths,2.0,"total, status of casualty",storage property fires
2011,ontario,SIN,fire-related deaths,2.0,"total, status of casualty",other structure type
2011,ontario,SIN,fire-related deaths,42.0,civilian,total structural fires
2011,ontario,SIN,fire-related deaths,41.0,civilian,residential fires
2011,ontario,SIN,fire-related deaths,0.0,civilian,industrial fires
2011,ontario,SIN,fire-related deaths,0.0,civilian,assembly fires
2011,ontario,SIN,fire-related deaths,0.0,civilian,mercantile fires
2011,ontario,SIN,fire-related deaths,0.0,civilian,business use/personal service fires
2011,ontario,SIN,fire-related deaths,0.0,civilian,institutional fires
2011,ontario,SIN,fire-related deaths,1.0,civilian,storage property fires
2011,ontario,SIN,fire-related deaths,0.0,civilian,other structure type
2011,ontario,SIN,fire-related deaths,2.0,firefighter,total structural fires
2011,ontario,SIN,fire-related deaths,0.0,firefighter,residential fires
2011,ontario,SIN,fire-related deaths,0.0,firefighter,industrial fires
2011,ontario,SIN,fire-related deaths,0.0,firefighter,assembly fires
2011,ontario,SIN,fire-related deaths,2.0,firefighter,mercantile fires
2011,ontario,SIN,fire-related deaths,0.0,firefighter,business use/personal service fires
2011,ontario,SIN,fire-related deaths,0.0,firefighter,institutional fires
2011,ontario,SIN,fire-related deaths,0.0,firefighter,storage property fires
2011,ontario,SIN,fire-related deaths,0.0,firefighter,other structure type
2011,ontario,SIN,fire-related deaths,9.0,unknown status of casualty,total structural fires
2011,ontario,SIN,fire-related deaths,5.0,unknown status of casualty,residential fires
2011,ontario,SIN,fire-related deaths,0.0,unknown status of casualty,industrial fires
2011,ontario,SIN,fire-related deaths,1.0,unknown status of casualty,assembly fires
2011,ontario,SIN,fire-related deaths,0.0,unknown status of casualty,mercantile fires
2011,ontario,SIN,fire-related deaths,0.0,unknown status of casualty,business use/personal service fires
2011,ontario,SIN,fire-related deaths,0.0,unknown status of casualty,institutional fires
2011,ontario,SIN,fire-related deaths,1.0,unknown status of casualty,storage property fires
2011,ontario,SIN,fire-related deaths,2.0,unknown status of casualty,other structure type
2011,ontario,SIN,fire-related deaths,27.0,"total, status of casualty",total structural fires
2011,ontario,SIN,fire-related deaths,24.0,"total, status of casualty",residential fires
2011,ontario,SIN,fire-related deaths,0.0,"total, status of casualty",industrial fires
2011,ontario,SIN,fire-related deaths,0.0,"total, status of casualty",assembly fires
2011,ontario,SIN,fire-related deaths,0.0,"total, status of casualty",mercantile fires
2011,ontario,SIN,fire-related deaths,0.0,"total, status of casualty",business use/personal service fires
2011,ontario,SIN,fire-related deaths,1.0,"total, status of casualty",institutional fires
2011,ontario,SIN,fire-related deaths,1.0,"total, status of casualty",storage property fires
2011,ontario,SIN,fire-related deaths,1.0,"total, status of casualty",other structure type
2011,ontario,SIN,fire-related deaths,24.0,civilian,total structural fires
2011,ontario,SIN,fire-related deaths,22.0,civilian,residential fires
2011,ontario,SIN,fire-related deaths,0.0,civilian,industrial fires
2011,ontario,SIN,fire-related deaths,0.0,civilian,assembly fires
2011,ontario,SIN,fire-related deaths,0.0,civilian,mercantile fires
2011,ontario,SIN,fire-related deaths,0.0,civilian,business use/personal service fires
2011,ontario,SIN,fire-related deaths,1.0,civilian,institutional fires
2011,ontario,SIN,fire-related deaths,1.0,civilian,storage property fires
2011,ontario,SIN,fire-related deaths,0.0,civilian,other structure type
2011,ontario,SIN,fire-related deaths,0.0,firefighter,total structural fires
2011,ontario,SIN,fire-related deaths,0.0,firefighter,residential fires
2011,ontario,SIN,fire-related deaths,0.0,firefighter,industrial fires
2011,ontario,SIN,fire-related deaths,0.0,firefighter,assembly fires
2011,ontario,SIN,fire-related deaths,0.0,firefighter,mercantile fires
2011,ontario,SIN,fire-related deaths,0.0,firefighter,business use/personal service fires
2011,ontario,SIN,fire-related deaths,0.0,firefighter,institutional fires
2011,ontario,SIN,fire-related deaths,0.0,firefighter,storage property fires
2011,ontario,SIN,fire-related deaths,0.0,firefighter,other structure type
2011,ontario,SIN,fire-related deaths,3.0,unknown status of casualty,total structural fires
2011,ontario,SIN,fire-related deaths,2.0,unknown status of casualty,residential fires
2011,ontario,SIN,fire-related deaths,0.0,unknown status of casualty,industrial fires
2011,ontario,SIN,fire-related deaths,0.0,unknown status of casualty,assembly fires
2011,ontario,SIN,fire-related deaths,0.0,unknown status of casualty,mercantile fires
2011,ontario,SIN,fire-related deaths,0.0,unknown status of casualty,business use/personal service fires
2011,ontario,SIN,fire-related deaths,0.0,unknown status of casualty,institutional fires
2011,ontario,SIN,fire-related deaths,0.0,unknown status of casualty,storage property fires
2011,ontario,SIN,fire-related deaths,1.0,unknown status of casualty,other structure type
2011,ontario,SIN,fire-related deaths,0.0,"total, status of casualty",total structural fires
2011,ontario,SIN,fire-related deaths,0.0,"total, status of casualty",residential fires
2011,ontario,SIN,fire-related deaths,0.0,"total, status of casualty",industrial fires
2011,ontario,SIN,fire-related deaths,0.0,"total, status of casualty",assembly fires
2011,ontario,SIN,fire-related deaths,0.0,"total, status of casualty",mercantile fires
2011,ontario,SIN,fire-related deaths,0.0,"total, status of casualty",business use/personal service fires
2011,ontario,SIN,fire-related deaths,0.0,"total, status of casualty",institutional fires
2011,ontario,SIN,fire-related deaths,0.0,"total, status of casualty",storage property fires
2011,ontario,SIN,fire-related deaths,0.0,"total, status of casualty",other structure type
2011,ontario,SIN,fire-related deaths,0.0,civilian,total structural fires
2011,ontario,SIN,fire-related deaths,0.0,civilian,residential fires
2011,ontario,SIN,fire-related deaths,0.0,civilian,industrial fires
2011,ontario,SIN,fire-related deaths,0.0,civilian,assembly fires
2011,ontario,SIN,fire-related deaths,0.0,civilian,mercantile fires
2011,ontario,SIN,fire-related deaths,0.0,civilian,business use/personal service fires
2011,ontario,SIN,fire-related deaths,0.0,civilian,institutional fires
2011,ontario,SIN,fire-related deaths,0.0,civilian,storage property fires
2011,ontario,SIN,fire-related deaths,0.0,civilian,other structure type
2011,ontario,SIN,fire-related deaths,0.0,firefighter,total structural fires
2011,ontario,SIN,fire-related deaths,0.0,firefighter,residential fires
2011,ontario,SIN,fire-related deaths,0.0,firefighter,industrial fires
2011,ontario,SIN,fire-related deaths,0.0,firefighter,assembly fires
2011,ontario,SIN,fire-related deaths,0.0,firefighter,mercantile fires
2011,ontario,SIN,fire-related deaths,0.0,firefighter,business use/personal service fires
2011,ontario,SIN,fire-related deaths,0.0,firefighter,institutional fires
2011,ontario,SIN,fire-related deaths,0.0,firefighter,storage property fires
2011,ontario,SIN,fire-related deaths,0.0,firefighter,other structure type
2011,ontario,SIN,fire-related deaths,0.0,unknown status of casualty,total structural fires
2011,ontario,SIN,fire-related deaths,0.0,unknown status of casualty,residential fires
2011,ontario,SIN,fire-related deaths,0.0,unknown status of casualty,industrial fires
2011,ontario,SIN,fire-related deaths,0.0,unknown status of casualty,assembly fires
2011,ontario,SIN,fire-related deaths,0.0,unknown status of casualty,mercantile fires
2011,ontario,SIN,fire-related deaths,0.0,unknown status of casualty,business use/personal service fires
2011,ontario,SIN,fire-related deaths,0.0,unknown status of casualty,institutional fires
2011,ontario,SIN,fire-related deaths,0.0,unknown status of casualty,storage property fires
2011,ontario,SIN,fire-related deaths,0.0,unknown status of casualty,other structure type
2011,ontario,SIN,fire-related injuries,718.0,"total, status of casualty",total structural fires
2011,ontario,SIN,fire-related injuries,609.0,"total, status of casualty",residential fires
2011,ontario,SIN,fire-related injuries,15.0,"total, status of casualty",industrial fires
2011,ontario,SIN,fire-related injuries,18.0,"total, status of casualty",assembly fires
2011,ontario,SIN,fire-related injuries,25.0,"total, status of casualty",mercantile fires
2011,ontario,SIN,fire-related injuries,2.0,"total, status of casualty",business use/personal service fires
2011,ontario,SIN,fire-related injuries,5.0,"total, status of casualty",institutional fires
2011,ontario,SIN,fire-related injuries,23.0,"total, status of casualty",storage property fires
2011,ontario,SIN,fire-related injuries,21.0,"total, status of casualty",other structure type
2011,ontario,SIN,fire-related injuries,496.0,civilian,total structural fires
2011,ontario,SIN,fire-related injuries,441.0,civilian,residential fires
2011,ontario,SIN,fire-related injuries,9.0,civilian,industrial fires
2011,ontario,SIN,fire-related injuries,14.0,civilian,assembly fires
2011,ontario,SIN,fire-related injuries,14.0,civilian,mercantile fires
2011,ontario,SIN,fire-related injuries,1.0,civilian,business use/personal service fires
2011,ontario,SIN,fire-related injuries,3.0,civilian,institutional fires
2011,ontario,SIN,fire-related injuries,8.0,civilian,storage property fires
2011,ontario,SIN,fire-related injuries,6.0,civilian,other structure type
2011,ontario,SIN,fire-related injuries,222.0,firefighter,total structural fires
2011,ontario,SIN,fire-related injuries,168.0,firefighter,residential fires
2011,ontario,SIN,fire-related injuries,6.0,firefighter,industrial fires
2011,ontario,SIN,fire-related injuries,4.0,firefighter,assembly fires
2011,ontario,SIN,fire-related injuries,11.0,firefighter,mercantile fires
2011,ontario,SIN,fire-related injuries,1.0,firefighter,business use/personal service fires
2011,ontario,SIN,fire-related injuries,2.0,firefighter,institutional fires
2011,ontario,SIN,fire-related injuries,15.0,firefighter,storage property fires
2011,ontario,SIN,fire-related injuries,15.0,firefighter,other structure type
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,total structural fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,residential fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,industrial fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,assembly fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,mercantile fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,business use/personal service fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,institutional fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,storage property fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,other structure type
2011,ontario,SIN,fire-related injuries,14.0,"total, status of casualty",total structural fires
2011,ontario,SIN,fire-related injuries,14.0,"total, status of casualty",residential fires
2011,ontario,SIN,fire-related injuries,0.0,"total, status of casualty",industrial fires
2011,ontario,SIN,fire-related injuries,0.0,"total, status of casualty",assembly fires
2011,ontario,SIN,fire-related injuries,0.0,"total, status of casualty",mercantile fires
2011,ontario,SIN,fire-related injuries,0.0,"total, status of casualty",business use/personal service fires
2011,ontario,SIN,fire-related injuries,0.0,"total, status of casualty",institutional fires
2011,ontario,SIN,fire-related injuries,0.0,"total, status of casualty",storage property fires
2011,ontario,SIN,fire-related injuries,0.0,"total, status of casualty",other structure type
2011,ontario,SIN,fire-related injuries,14.0,civilian,total structural fires
2011,ontario,SIN,fire-related injuries,14.0,civilian,residential fires
2011,ontario,SIN,fire-related injuries,0.0,civilian,industrial fires
2011,ontario,SIN,fire-related injuries,0.0,civilian,assembly fires
2011,ontario,SIN,fire-related injuries,0.0,civilian,mercantile fires
2011,ontario,SIN,fire-related injuries,0.0,civilian,business use/personal service fires
2011,ontario,SIN,fire-related injuries,0.0,civilian,institutional fires
2011,ontario,SIN,fire-related injuries,0.0,civilian,storage property fires
2011,ontario,SIN,fire-related injuries,0.0,civilian,other structure type
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,total structural fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,residential fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,industrial fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,assembly fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,mercantile fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,business use/personal service fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,institutional fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,storage property fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,other structure type
2011,ontario,SIN,fire-related injuries,33.0,"total, status of casualty",total structural fires
2011,ontario,SIN,fire-related injuries,31.0,"total, status of casualty",residential fires
2011,ontario,SIN,fire-related injuries,0.0,"total, status of casualty",industrial fires
2011,ontario,SIN,fire-related injuries,0.0,"total, status of casualty",assembly fires
2011,ontario,SIN,fire-related injuries,1.0,"total, status of casualty",mercantile fires
2011,ontario,SIN,fire-related injuries,0.0,"total, status of casualty",business use/personal service fires
2011,ontario,SIN,fire-related injuries,0.0,"total, status of casualty",institutional fires
2011,ontario,SIN,fire-related injuries,1.0,"total, status of casualty",storage property fires
2011,ontario,SIN,fire-related injuries,0.0,"total, status of casualty",other structure type
2011,ontario,SIN,fire-related injuries,33.0,civilian,total structural fires
2011,ontario,SIN,fire-related injuries,31.0,civilian,residential fires
2011,ontario,SIN,fire-related injuries,0.0,civilian,industrial fires
2011,ontario,SIN,fire-related injuries,0.0,civilian,assembly fires
2011,ontario,SIN,fire-related injuries,1.0,civilian,mercantile fires
2011,ontario,SIN,fire-related injuries,0.0,civilian,business use/personal service fires
2011,ontario,SIN,fire-related injuries,0.0,civilian,institutional fires
2011,ontario,SIN,fire-related injuries,1.0,civilian,storage property fires
2011,ontario,SIN,fire-related injuries,0.0,civilian,other structure type
2011,ontario,SIN,fire-related injuries,0.0,firefighter,total structural fires
2011,ontario,SIN,fire-related injuries,0.0,firefighter,residential fires
2011,ontario,SIN,fire-related injuries,0.0,firefighter,industrial fires
2011,ontario,SIN,fire-related injuries,0.0,firefighter,assembly fires
2011,ontario,SIN,fire-related injuries,0.0,firefighter,mercantile fires
2011,ontario,SIN,fire-related injuries,0.0,firefighter,business use/personal service fires
2011,ontario,SIN,fire-related injuries,0.0,firefighter,institutional fires
2011,ontario,SIN,fire-related injuries,0.0,firefighter,storage property fires
2011,ontario,SIN,fire-related injuries,0.0,firefighter,other structure type
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,total structural fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,residential fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,industrial fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,assembly fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,mercantile fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,business use/personal service fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,institutional fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,storage property fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,other structure type
2011,ontario,SIN,fire-related injuries,539.0,"total, status of casualty",total structural fires
2011,ontario,SIN,fire-related injuries,448.0,"total, status of casualty",residential fires
2011,ontario,SIN,fire-related injuries,12.0,"total, status of casualty",industrial fires
2011,ontario,SIN,fire-related injuries,14.0,"total, status of casualty",assembly fires
2011,ontario,SIN,fire-related injuries,18.0,"total, status of casualty",mercantile fires
2011,ontario,SIN,fire-related injuries,2.0,"total, status of casualty",business use/personal service fires
2011,ontario,SIN,fire-related injuries,3.0,"total, status of casualty",institutional fires
2011,ontario,SIN,fire-related injuries,22.0,"total, status of casualty",storage property fires
2011,ontario,SIN,fire-related injuries,20.0,"total, status of casualty",other structure type
2011,ontario,SIN,fire-related injuries,320.0,civilian,total structural fires
2011,ontario,SIN,fire-related injuries,283.0,civilian,residential fires
2011,ontario,SIN,fire-related injuries,6.0,civilian,industrial fires
2011,ontario,SIN,fire-related injuries,10.0,civilian,assembly fires
2011,ontario,SIN,fire-related injuries,7.0,civilian,mercantile fires
2011,ontario,SIN,fire-related injuries,1.0,civilian,business use/personal service fires
2011,ontario,SIN,fire-related injuries,1.0,civilian,institutional fires
2011,ontario,SIN,fire-related injuries,7.0,civilian,storage property fires
2011,ontario,SIN,fire-related injuries,5.0,civilian,other structure type
2011,ontario,SIN,fire-related injuries,219.0,firefighter,total structural fires
2011,ontario,SIN,fire-related injuries,165.0,firefighter,residential fires
2011,ontario,SIN,fire-related injuries,6.0,firefighter,industrial fires
2011,ontario,SIN,fire-related injuries,4.0,firefighter,assembly fires
2011,ontario,SIN,fire-related injuries,11.0,firefighter,mercantile fires
2011,ontario,SIN,fire-related injuries,1.0,firefighter,business use/personal service fires
2011,ontario,SIN,fire-related injuries,2.0,firefighter,institutional fires
2011,ontario,SIN,fire-related injuries,15.0,firefighter,storage property fires
2011,ontario,SIN,fire-related injuries,15.0,firefighter,other structure type
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,total structural fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,residential fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,industrial fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,assembly fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,mercantile fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,business use/personal service fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,institutional fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,storage property fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,other structure type
2011,ontario,SIN,fire-related injuries,76.0,"total, status of casualty",total structural fires
2011,ontario,SIN,fire-related injuries,71.0,"total, status of casualty",residential fires
2011,ontario,SIN,fire-related injuries,0.0,"total, status of casualty",industrial fires
2011,ontario,SIN,fire-related injuries,1.0,"total, status of casualty",assembly fires
2011,ontario,SIN,fire-related injuries,2.0,"total, status of casualty",mercantile fires
2011,ontario,SIN,fire-related injuries,0.0,"total, status of casualty",business use/personal service fires
2011,ontario,SIN,fire-related injuries,1.0,"total, status of casualty",institutional fires
2011,ontario,SIN,fire-related injuries,0.0,"total, status of casualty",storage property fires
2011,ontario,SIN,fire-related injuries,1.0,"total, status of casualty",other structure type
2011,ontario,SIN,fire-related injuries,75.0,civilian,total structural fires
2011,ontario,SIN,fire-related injuries,70.0,civilian,residential fires
2011,ontario,SIN,fire-related injuries,0.0,civilian,industrial fires
2011,ontario,SIN,fire-related injuries,1.0,civilian,assembly fires
2011,ontario,SIN,fire-related injuries,2.0,civilian,mercantile fires
2011,ontario,SIN,fire-related injuries,0.0,civilian,business use/personal service fires
2011,ontario,SIN,fire-related injuries,1.0,civilian,institutional fires
2011,ontario,SIN,fire-related injuries,0.0,civilian,storage property fires
2011,ontario,SIN,fire-related injuries,1.0,civilian,other structure type
2011,ontario,SIN,fire-related injuries,1.0,firefighter,total structural fires
2011,ontario,SIN,fire-related injuries,1.0,firefighter,residential fires
2011,ontario,SIN,fire-related injuries,0.0,firefighter,industrial fires
2011,ontario,SIN,fire-related injuries,0.0,firefighter,assembly fires
2011,ontario,SIN,fire-related injuries,0.0,firefighter,mercantile fires
2011,ontario,SIN,fire-related injuries,0.0,firefighter,business use/personal service fires
2011,ontario,SIN,fire-related injuries,0.0,firefighter,institutional fires
2011,ontario,SIN,fire-related injuries,0.0,firefighter,storage property fires
2011,ontario,SIN,fire-related injuries,0.0,firefighter,other structure type
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,total structural fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,residential fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,industrial fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,assembly fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,mercantile fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,business use/personal service fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,institutional fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,storage property fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,other structure type
2011,ontario,SIN,fire-related injuries,56.0,"total, status of casualty",total structural fires
2011,ontario,SIN,fire-related injuries,45.0,"total, status of casualty",residential fires
2011,ontario,SIN,fire-related injuries,3.0,"total, status of casualty",industrial fires
2011,ontario,SIN,fire-related injuries,3.0,"total, status of casualty",assembly fires
2011,ontario,SIN,fire-related injuries,4.0,"total, status of casualty",mercantile fires
2011,ontario,SIN,fire-related injuries,0.0,"total, status of casualty",business use/personal service fires
2011,ontario,SIN,fire-related injuries,1.0,"total, status of casualty",institutional fires
2011,ontario,SIN,fire-related injuries,0.0,"total, status of casualty",storage property fires
2011,ontario,SIN,fire-related injuries,0.0,"total, status of casualty",other structure type
2011,ontario,SIN,fire-related injuries,54.0,civilian,total structural fires
2011,ontario,SIN,fire-related injuries,43.0,civilian,residential fires
2011,ontario,SIN,fire-related injuries,3.0,civilian,industrial fires
2011,ontario,SIN,fire-related injuries,3.0,civilian,assembly fires
2011,ontario,SIN,fire-related injuries,4.0,civilian,mercantile fires
2011,ontario,SIN,fire-related injuries,0.0,civilian,business use/personal service fires
2011,ontario,SIN,fire-related injuries,1.0,civilian,institutional fires
2011,ontario,SIN,fire-related injuries,0.0,civilian,storage property fires
2011,ontario,SIN,fire-related injuries,0.0,civilian,other structure type
2011,ontario,SIN,fire-related injuries,2.0,firefighter,total structural fires
2011,ontario,SIN,fire-related injuries,2.0,firefighter,residential fires
2011,ontario,SIN,fire-related injuries,0.0,firefighter,industrial fires
2011,ontario,SIN,fire-related injuries,0.0,firefighter,assembly fires
2011,ontario,SIN,fire-related injuries,0.0,firefighter,mercantile fires
2011,ontario,SIN,fire-related injuries,0.0,firefighter,business use/personal service fires
2011,ontario,SIN,fire-related injuries,0.0,firefighter,institutional fires
2011,ontario,SIN,fire-related injuries,0.0,firefighter,storage property fires
2011,ontario,SIN,fire-related injuries,0.0,firefighter,other structure type
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,total structural fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,residential fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,industrial fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,assembly fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,mercantile fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,business use/personal service fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,institutional fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,storage property fires
2011,ontario,SIN,fire-related injuries,0.0,unknown status of casualty,other structure type
2011,manitoba,SIN,fire-related deaths,19.0,"total, status of casualty",total structural fires
2011,manitoba,SIN,fire-related deaths,19.0,"total, status of casualty",residential fires
2011,manitoba,SIN,fire-related deaths,0.0,"total, status of casualty",industrial fires
2011,manitoba,SIN,fire-related deaths,0.0,"total, status of casualty",assembly fires
2011,manitoba,SIN,fire-related deaths,0.0,"total, status of casualty",mercantile fires
2011,manitoba,SIN,fire-related deaths,0.0,"total, status of casualty",business use/personal service fires
2011,manitoba,SIN,fire-related deaths,0.0,"total, status of casualty",institutional fires
2011,manitoba,SIN,fire-related deaths,0.0,"total, status of casualty",storage property fires
2011,manitoba,SIN,fire-related deaths,0.0,"total, status of casualty",other structure type
2011,manitoba,SIN,fire-related deaths,19.0,civilian,total structural fires
2011,manitoba,SIN,fire-related deaths,19.0,civilian,residential fires
2011,manitoba,SIN,fire-related deaths,0.0,civilian,industrial fires
2011,manitoba,SIN,fire-related deaths,0.0,civilian,assembly fires
2011,manitoba,SIN,fire-related deaths,0.0,civilian,mercantile fires
2011,manitoba,SIN,fire-related deaths,0.0,civilian,business use/personal service fires
2011,manitoba,SIN,fire-related deaths,0.0,civilian,institutional fires
2011,manitoba,SIN,fire-related deaths,0.0,civilian,storage property fires
2011,manitoba,SIN,fire-related deaths,0.0,civilian,other structure type
2011,manitoba,SIN,fire-related deaths,0.0,firefighter,total structural fires
2011,manitoba,SIN,fire-related deaths,0.0,firefighter,residential fires
2011,manitoba,SIN,fire-related deaths,0.0,firefighter,industrial fires
2011,manitoba,SIN,fire-related deaths,0.0,firefighter,assembly fires
2011,manitoba,SIN,fire-related deaths,0.0,firefighter,mercantile fires
2011,manitoba,SIN,fire-related deaths,0.0,firefighter,business use/personal service fires
2011,manitoba,SIN,fire-related deaths,0.0,firefighter,institutional fires
2011,manitoba,SIN,fire-related deaths,0.0,firefighter,storage property fires
2011,manitoba,SIN,fire-related deaths,0.0,firefighter,other structure type
2011,manitoba,SIN,fire-related deaths,0.0,unknown status of casualty,total structural fires
2011,manitoba,SIN,fire-related deaths,0.0,unknown status of casualty,residential fires
2011,manitoba,SIN,fire-related deaths,0.0,unknown status of casualty,industrial fires
2011,manitoba,SIN,fire-related deaths,0.0,unknown status of casualty,assembly fires
2011,manitoba,SIN,fire-related deaths,0.0,unknown status of casualty,mercantile fires
2011,manitoba,SIN,fire-related deaths,0.0,unknown status of casualty,business use/personal service fires
2011,manitoba,SIN,fire-related deaths,0.0,unknown status of casualty,institutional fires
2011,manitoba,SIN,fire-related deaths,0.0,unknown status of casualty,storage property fires
2011,manitoba,SIN,fire-related deaths,0.0,unknown status of casualty,other structure type
2011,manitoba,SIN,fire-related deaths,0.0,"total, status of casualty",total structural fires
2011,manitoba,SIN,fire-related deaths,0.0,"total, status of casualty",residential fires
2011,manitoba,SIN,fire-related deaths,0.0,"total, status of casualty",industrial fires
2011,manitoba,SIN,fire-related deaths,0.0,"total, status of casualty",assembly fires
2011,manitoba,SIN,fire-related deaths,0.0,"total, status of casualty",mercantile fires
2011,manitoba,SIN,fire-related deaths,0.0,"total, status of casualty",business use/personal service fires
2011,manitoba,SIN,fire-related deaths,0.0,"total, status of casualty",institutional fires
2011,manitoba,SIN,fire-related deaths,0.0,"total, status of casualty",storage property fires
2011,manitoba,SIN,fire-related deaths,0.0,"total, status of casualty",other structure type
2011,manitoba,SIN,fire-related deaths,0.0,civilian,total structural fires
